Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT
Date,,,,,,,,,,,,,,,
2024-12-11,245.6180877685547,196.07501220703125,446.5363464355469,249.91283942191654,196.25442385309114,447.8889300799693,245.38889040813984,185.65873341528825,441.62334015579273,247.08288910248365,186.0973154961447,441.62334015579273,45205800,41664500,19200200
2024-12-12,247.08287048339844,193.0049591064453,447.1032409667969,247.8601100871407,196.07002983557697,453.66717934055725,244.81092178998352,192.65608283731066,446.65568798759284,246.0166482138882,195.66633840932482,446.65568798759284,32777500,25197800,20834800
2024-12-13,247.25228881835938,190.76220703125,444.8257141113281,248.4081739675946,193.71264327515175,448.9629838704377,245.36897496771653,190.64258406331268,443.14494732322726,246.94338782137353,192.08791545519404,445.98933356109154,33155300,18883200,20177800
2024-12-16,250.15196228027344,197.52032470703125,449.12213134765625,250.49077111704125,199.992314777292,449.7089034526842,246.7739547032778,193.4833954424774,442.8466168869823,247.11276354004562,193.73757714576846,444.82573215231423,51694800,32248600,23598800
2024-12-17,252.58334350585938,196.4836883544922,451.9764099121094,252.93211150871377,202.2251047087036,452.80189103583194,248.89643481128522,196.0550837025253,447.11314908926647,249.1953766416157,197.88914050032798,448.545282051395,51356400,24129500,22733500
2024-12-18,247.1725616455078,189.5361785888672,434.9997253417969,253.38051965426092,198.04861948645635,450.1763104473289,246.86366065893745,188.6689918668289,434.6317218572595,251.26802371656945,196.19462306691972,448.85359210839096,56774100,27638400,24444500
2024-12-19,248.90638732910156,189.08763122558594,434.6416931152344,251.10857637552834,193.97182278625914,440.7580781855559,246.21594133746913,188.90821957957144,433.9355816606558,246.62449465453676,192.65607654402254,439.2066057877418,60882300,26981200,22963700
2024-12-20,253.5897674560547,192.33712768554688,434.2140808105469,254.0979578981185,193.50832259279161,441.3150464611244,244.82089371115717,185.76838878723544,426.28763393531244,247.16257165125242,186.40632224516705,430.7431322726768,147495300,45319700,64263700
2024-12-23,254.36700439453125,195.3573455810547,432.8714294433594,254.74564983170012,195.85573157040523,435.25830776300677,252.55343521958227,191.01141914553668,430.4646409959487,253.86877310974026,193.4036658106059,434.35327712310794,40858800,15235900,19152500
2024-12-24,257.28668212890625,196.93223571777344,436.9291076660156,257.2966260773909,197.03190378414646,437.1976515770788,254.386956808638,194.56788347394306,431.817212852652,254.58626151312842,195.53674590275864,432.27469051669533,23234700,6809800,7164500
2024-12-26,258.1037292480469,196.4637451171875,435.7157897949219,259.1799258751944,197.52032088445068,438.5303413291557,256.7186620602343,195.23770474465502,434.24389716434194,257.27667867815336,196.1049066292932,436.6804901261448,27237100,7907900,8194200
2024-12-27,254.6858673095703,193.4136199951172,428.17718505859375,257.78488174803636,196.1647202757909,432.84155699312345,252.16481819720389,191.3523024429326,424.0200357250834,256.91793375888693,195.83578371138285,432.2249501021284,42355300,14693000,18117700
